review,sentiment
"Denemek için bir tane kumru bir tane salamlı tost aldım fakat ikisinden de memnun kalmadım. Kumruyu okul kantinlerindeki bayat tost ekmeğine yapıp göndermişler ve oldukça yavan bir tadı vardı. Tost içerisine ltfedip 3-4 parça salam koymuşlar, sadece ekmek arası sos yedim. Vasatın ötesinde hizmet.",0
Kumru demeye bin şahit küçücük sandiviç ekmeğine sosis ketçap mayonez koymuşlar kandırıyorlar insanı sözde 50 indirim var olmasa o fiyata o yemek gerçekten çok kötü kesinlikle almayın!,0
Hamburger harika.,1
Dikkat bağımlılık yaptı başka birşey yiğemiyoruz :q.,1
"Paketleme güzel ve sıcak geldi, başta tereddüt ettim soğuk gelecek diye ama daha önceden hamburgerinizi denediğim için siparişi verdikten 40 dk içinde bana geldi ve gayet başarılıydı, teşeklürler.",1
Siparişi verdikten sonra firma aradı sıcak getirmek için bi önceki siparişleri götürüp getireyim bi saate getirebilirim dedi bende okeyledim iki saatte gelebildi ürünlerde soğuktu lezzetli de anlayamadık.,0
İlk siparişim süperdi ikinci siparşimde serviside lezzetide berbattı!,0
Hamburger ekmegi çok bayattı.,0
Hamburgerin içinde yazan malzemeler yok yazmayan şeyler var. Domates yazmıyor fakat koymuşlar ekmek ıslakti paramparça oldu. Sıcak sıcak plastik kaba koyup paket yapmışlar gerçek anlamda hamurdu bir daha asla almam fiyat performans açısından kesinlikle sınıfta kalır.,0
"Kavurmalı bir tostun fiyatı nasıl 40tl olur? Buna rağmen sırf jumbo yazdıgı için sipariş verdim, tamam büyükse zaten değer dedim. Bildiğimiz kare tost ekmeğinin aynısının 1cm büyüğü. 40tlye koca bir tabak beyti, iskender vs yenebilir. İçindeki eser miktardaki kavurmadan bahsetmek bile istmyrm.",0
Notlarda köftenin orta pişmiş olsun diye belirtmeme rağmen dalga geçilir gibi yanık kup kuru köfte geldi. Hamburgeri naylona vakumlayıp göndermişler şimdiye kadar gördüğüm en kötü paketlemeydi ve ekmek bayattı. Patatesler siz düşünün. Bu puan bile çok fazla.,0
Sorunu yazmıcağım sadece dikkatli olmanız lazım ve patatesi ve paketlemeyi düzeltmeniz.,0
"Çok lezzetliydi teşekkür, plastik kapta geldi ama gıdaya uyumlu rahatsız etmedi.",1
Karnınız tok iken sipariş verin gelene kadar zaten acıkıyorsunuz böyle esnaflık olmaz motor kuryelerı yok sagdakı soldaki restaurantlara yalvararak sioariş gonderiyolar 1de soyledıgımız sıparıs 3te geldi.,0
Super hiz ve super tat. Tesekkurler.,1
Burası neden hep kapalı? Müşteriye hiç mi değer vermiyorsunuz? Her şey para mı?,0
Soguk buz gibi geldi.,0
Tasıma çok kötü idi tatlılar başaşağı olmuştu.. Ayrıca pilav pismemis geldi. Köfteler de donmuş köfte idi el yapımı değildi ve inanılmaz pahalı idi çok pişman oldum bir daha sipariş vermem...,0
Daha az olsa daha az puan verilirdi.,0
Restorant kebap yaptığını zannediyor kebap siparişi vermeyin.,0
İlk defa bir siparişim için yorum yapıyorum. Pideniz pişmemişti. Lahmacunda öyleydi hic tat alamadık 1 saati gecen bir sürede getirdiniz o ayrı konu. Bir daha siparişim vermeyeceğim net. :(.,0
Ben hayatımda bu kadar kötüsünü yemedim nimettir sonuçta laf söylenmez bunlar yapamıyor kardeşim.,0
Bozuldu midemiz bu ne abi.,0
Durumun icinde et diye birşey yok sallata ekmek yedikk.,0
Berbat.,0
Hayatimda yedigim en kotu adana olabilir. Resmen kiymayi baharata bulayip gondermisler.,0
Etler çiğ geliyor bu aralar:(((.,0
Çok kötü.,0
"Mercimek çorbası bozuktu, pilav normal ama üstündeki tavuk dönerler kim bilir kaçıncı kez ısıtılmış.",0
Köfteler çok lezzetli elinize sağlık. Pilav bu sefer kalite kokuyodu cidden.,1
Gelen yemekten hiç bir şekilde lezzet yok köfte pilav inanılmaz kötüydü servis deseniz oda çok kötü bu kadar ciddi bir kuruma böyle yerleri hiç yakistiramadim.,0
Mükemmel gayette ucuz sadece soğukttu.,1
Fiyatlarınız çok uygun lezzette iyiydi elinize sağlık.,1
Kurye kibardi onun dışında tat berbat hiçbirini yiyemedik.,0
"Pilav ve döner lezzetliydi ve sıcaktı, yanlarında verdikleri tatlı da tazeydi.",1
Ben hayatım boyunca böyle rezil bişey görmedim ekmek bayat köfteler ciğ içinde malzeme yoktu ama motorcu arkadas hızlı geldi dikkate alınması lazımm.,0
Önceki köftelerinize göre bu sefer ki köfte çok daha güzeldi favorilerimdesiniz bilmenizi istedim :) ellerize sağlık iyi çalısmalar.,1
Güzel.,1
Kesinlikle profiterol siparişi vermeyin çikolatalı pudingi pişirip dökmüşler krema süt değil su ile yapılmış puding topaklanmis 1 kg çöpe gitti.,0
"Gördüğüm enn rezalet şeydi, sakın almayın, bu işletmenin gidip profiterol yapmayı öğrenmesi gerekiyor, iç dolgusundan sosuna kadar yenecek durumda olmayan bir paket geldi gerçekten çok üzüldüm ve direkt çöpe atıldı, çok yazık, profiterolsüz profiterolcü tanımış oldum.",0
Ürün bayattı misafirlerim icin almistim icindeki kremasi eksiydi hamuru de bayatti bir daha alicagimi sanmiyorum.,0
"Profiterol çikolatasının kıvamı malesef kötüydü. Pataşu sosdan dolayı yumuşaklaşmış lezzetsizdi. Üzgünüm kötü deneyim oldu, fıstıklı dondurma ise malesef olmamış bir lezzete su bazlı hissi vardı.",0
Yani geç saatte sipariş verdim mi diye bilmiyorum ama bayat ve kötü içindeki muhallebisi kötü çikolata sosu fena değil. Yani önermem.,0
Sabah kahvaltıdan kalan poğaça ların üzerine bakkaldan danone alıp dökülmüş hayatımda böyle bir profiterol yemedim.,0
Hiç beğenmedim tadına bakıp çöpe attım.,0
Yemekler çok lezzetli kuryeler hızlı bi sekilde yemekleri soğutmadan getiriyor bu restorani herkeze tavsiye ederim.,1
Soğuk geldi.,0
Buz gibi be 2 saatte geldi.,0
Lahmacun tasi kotuydu hamuru sertti.,0
Adanası çamur gibi.,0
Bad food and take 3 hours tocom e :(.,0
Uzun zamandır kebap sizden söylüyorum bu defa sizden ciğer söyledim ama çöpe attım. Bayatlamıştı kokuyordu. Yani tabi hersey olabilir ete sonuçta et ama neden satıyorsunuz? Hiç hoş olmadı bu.,0
Beğenmedim.,0
Adana durum soyledik kiymadan cok bulgur vardi icinde lezzetlide degildi.,0
Pastırmalı kaşarlı pide istedim. Pastırmanın selamını bile almamış kaskatı pidemsi bir şey geldi.,0
20/30 dk sipariş süresine aldanarak pide söyleme gafletinde bulundum. 1 saatte geldi. Bu sırada restaurant i inceledim yemek sepetinde 50 indirimde satıyormuş ürünleri kampanya gereğince :) durum 40tl imiş 20tl ye pide 50tl yerjne 25 e veriyormuş. Bedava verseniz yenmez ama kampanya fiyasko aldatmac.,0
1 saaati geçmesine rağmen yoldayız dediler yemek gelmedi.,0
Çorba buz gibi yemek buz gibi 30. 40 dk yazıyor 1 saat 5 dk geldi sorduğumda ee yoğunluk var okimin işi yoğunsa heşey baştan sağma.,0
Lahmacunlar güzeldi beğendim.,1
Soğuk ve geç geldi.,0
Mükemmel.,1
Sipariş poşetle geldi açtım buz gibi çıktı. Peteğin üzerine koyarak 1 saat ısıttım. Ayrıca ödemeyi k. K olarak yaptığım halde post cihazı unutulduğundan nakit vermek zorunda kaldm.,0
Lezzetsiz.,0
Hızlı geldi ama lezzetini pek beğenmedim çok acıydı.,0
Ürünlerin fiyatlarının normalde olması gereken rakama 50 indirim yaptık diye yazılması hoş değil. Madem bu kalitede ürün sunuyorsunuz o zaman ücreti normalde 50 ama size indirim yaptık demeyin boşuna.,0
"Ballı süt 9 tl gelen içim süt 1 lt 5 tl ise 200 ml 1 tl bal 10 gr marketten ayrı 50 kuruş 1, 5 tl ye 9 tl afiyet olsun.",0
Super.,1
Kötü.,0
"Bu paketlemeyle nasıl yemek servis edebiliyorsunuz anlamadık, reçel vs kutuları büyük kutunun içine atılmış salamlar şeffaf streçe sarılıp yollanmış. Ekmekler ekmek olduğunu unutmuş. İndirim var diye böyleyse çok yazık eğer 56 tl iken de böyleyse daha da yazık sonuç olarak hiç ama hiç beğenmedik.",0
Sosları ayrı koyarsanız dökülmemil olur :) onun dışında tadı harikaydı elinize sağlık.,1
Zaten midede birleşicek diye yemekleri aynı kapta vermeniz güzel olmuş tasarruf etmişsinizdir.,0
Delicious.,1
Baya porsiyon küçük olmuş indirim yapinca mi öyle oluyor çok kötü.,0
Kötüydü.,0
"Yediğim dönerin döner olmasına 1000 şahit istenir. Lavaş sakız gibi tavuk eski, zamanlama 1 saatte esnaflık 0. Ne bir peçete ne ıslak mendil yoktu. Servis 0. Hatay soslu diye tanıttıkları sosu, hataylı olmasam yiyecektim. Para israfı. 1 ısırık aldım gerisi çöpte. Yazıklar olsun.",0
Rezalet.,0
"Hiz cok iyiydi 10-15 dkda geldi siparis. Ama lezzet asiri kotu. Asiri actim ve joker kazanmistim. 2 tavuk doner soledim. 1 tanesini yiyebildim. Acligimi bastirinca digerini midem almadi. Lavas ve sos cok kotu. Lavas cok yavan, sosda rahatsiz edici bir tad birakiyor insanin agzinda.",0
"Lavaş dürüm sakız gibi uzuyor ve sakız gibi uzadığı için, içindeki dönerler hep dışarı dökülüyor lavaş ekmeği başka yerden almanızı rica ederim.",0
Ellerine sağlık çok teşekkürler.,1
"Et döner diye birsey gönderdiler, yemin edebilirim o döner degildi... Ekşii berbat ötesi birseydi... Fani ömrümde daha berbatıni yiyemem herhalde...",0
Cook güzeldi.,1
Servisin iyiydi hızlıydı motorcusu çok güler yüzlüydü ama yemekten hiç güzel değildi.,0
"Tad, servis, güzeldi.",1
Coook coook güzeldiellerinize sağlık.,1
Kötü.,0
Puanlar sizi aldatmasın döner harikaydı sosta efsaneydi elinize saglık halil.,1
"Bir buçuk saatte gelen, pahalı ve buzzzz gibi adana. Herkese tavsiye ederim..",0
"Yemek siparisi tam bir bucuk saatte getirdiler. Gelen kurye yogunuz dedi fakat, gelen yemek hem cok soguktu hemde nemden islakti. Bu firma ile ilgili her turlu sikayet hakkimi kullanacagim.",0
Also they didnt refund me.,0
I paid for my food and never got it.,0
Hayatımda yediğim en kötü adana dürümdü. 1 adana dürüm 40 tl olabilir mi ya onu geçtim kardeşim bu kadar pahalı ürünün hakkını verin ya kebaptan çok ekmek yedim. Sizden bir daha ürün almayacagim.,0
Malesef buz gibiydi.,0
Pideler buz gibi geldi sodexo ödemesini belirtmeme rağmen cihaz getirmemisler yolda bu kadar soğuyamaz pide.,0
Çok kötü.,0
Alibeyköye yeni taşındım ilk defa bir sipariş verdim 16 adet lahmacun. Ama hayatımda yediğim en kötü lahmacundu. Bir daha söylemem. Yazmiycaktim da para veriyoruz kardeşim kötüyse bilsin herkes.,0
Herşey çok iyiydi. Tavsiye ediyorum.,1
Eti kurutmuşlar resmen.,0
Sağolsunlar tam olarak 2 saat süre sonucunda siparişim teslim edildi. Siparişimin buz gibi gelmesinden de anlaşılacağı üzere restaurant sahipleri herhalde mesai bitiminde eve giderken siparişimi teslim etmeyi planlıyorlardı. İlgi ve alaka için teşekkür ediyorum.,0
Soğuk geldi.,0
Soğuk geldi.,0
Içimizden biri vejeteryan olduğu için peynirli pide sipariş ettik. Maalesef peynirli ve etli pide aldık ve restoran yeni pide getirme talebimize olumlu yanıt vermedi.,0
Yazılan dışında herşey gönderilmiş. Keşke bilgilendirme yapsalar. Bizde ona göre almasak.,0
Fava diye servis ettikleri şey ne bilmiyorum. Taze değildi orası kesin.,0
Dün kofte menusu siparis verdim menüde havuc tarator salata bulgur pilavi ve kofte olması gerekirken bana havuc tarator hic gelmedi onun yerine sogan konulmus gobek marul vardi sadece bulgur pilavida cok azdi yani hic memnun kalmadim.,0
Menüde olan yanliş geldi soğuktu ve 1 saatte.,0
"Yanık sarma ve içinde yarı pişmiş/pişmemiş pirinçler, yavan köfte, sipariş verir vermez gelen telefonda o yok yerine bunu yollayalım denmesi...",0
"Paketleme kötü, menüler eksik. 2 kişilik siparişi 1 karton çantaya doldurmuşlar elime aldım 2 adım attım çanta yırtıldı ve yere dağıldı yemek.",0
Bir daha sipariş etmeyeceğim tek yer. Her konuda.,0
Güzeldi.,1
Soğuk geldi çok geç geldi beğenmedim.,0
Biz coco cola istedik l cola geldi siprayt istedik yediğun geldi alakasız.,0
Kunefe hic guzel degildi.,0
Gerek varmı bilemedm.,0
Yemekler vasat.,0
Tavukta koku vardı.,0
Çok geç geldi.,0
"Sipariş eksik geldi, paketi açıp hatayı gördüğümde kurye çoktan uzaklaşmıştı.",0
Dört ayran sipariş etmemize rağmen üç tane geldi. Çok aç olduğumuz için peşine düşmedik. Gelmesini bir yarım saat daha beklemeyelim diye. Bir daha sipariş vermeyiz.,0
Soğuk ve yag cok kullanilmisti.,0
Köfte demeye bin şahit lastik gibi lezzetsiz bir daha asla dediğim restoranlara eklendiniz.,0
Uzun zamandır yemek söylüyordum buradan ama tavuk but bayat idi ızgara kaşarlı köfte söyledim kaşarlı gelmedi ekmeklerin son kullanma tarihi geçmiş idi tebrikler tertemiz müşteri kaybettiniz bi daha da şipariş yok.,0
Hız ve servis çok iyi fakat lezzet baya kötüydü.,0
Pideler harika ötesi.,1
Adana kalitesiz etten yapılmış o zaten belli soğanı basmışsınız ama soğan bile midemizi nasıl yaktı lütfen allah rızası için 15 lira olsun diye insan sağlından vazgeçmeyin.,0
Hiç meza yok 70tl ödüyorsun lavaş yiyorsun.,0
Listede bulundurup sonra yok diye arayıp getirmediler.,0
İki parça et resmen rezalet günlerce aç kalsam dahi bir daha tercih etmeyeceğim bir yer...,0
İlk defa bu kadar kotu bi ciger yedim porsyonuna 50 tl yazmissin hem agir koku var hemde yarim porsyon gibi az yolluyorsunuz hic tavsiye etmiyorum..,0
Elinize saglık çok güzel olmuş.,1
Hic begenmedim.,0
İstediğin pide sadece kuşbaşılı ydı ben peynir sevmediğim için bana kuşbaşı kaşarlı geldi biraz daha dikkatli olursanız çok sevinirim ayriyeten insan bir peçete bırakır ıslak mendil bırakır.,0
"Özellikle not olarak yazdığım erken ve sıcak gelmesini rica ediyorum dediğim şekilde 40 dakikada geldi ve yemeklerim buz gibi, çöpe gitti tekrar başka yerden sipariş verdim. Asla aldığınız parayı haketmiyorsunuz.",0
Servis kötü ne peçete nede ıslak mendil hiçbirşey yok fiyat yüksek malzeme ve porsiyon küçük.,0
"Bir saatte gelen pide, buz gibi. Ayrıca gelen arkadaşın hes kodu olmadığı için kendim inip almak zorunda kaldım, söyleseydin kendimiz gelip alırdık...",0
Buzgibi bir pide yemek isterseniz tam yeri. Birde gelen arkadaşın hes kodu yok kendim almak zorunda kaldım. Bilseydim gelip kendim alırdım...,0
Yemek 55 dakikada geldi ve geldiğinde buz gibiydi... Şahsen artık tercih etmem burayı.,0
Yani güzel.,1
Daha az puan olsaydi onu verirdim kasar desen yok kiyma desen yok ama yesilik tazeydi keske daha fazla yesilik olsaydi.,0
Gec geldi pide soguk kunefe soguk serbetsizdi.,0
Fena değildi.,1
Beğenmedim.,0
Lahmacunu ilk defa salçadan ile yapıldığına şahit oldum berbat.,0
"Lezzetli değildi, ayrıca siparişi getiren arkadaş pos slibini asansöre atmasaydi keşke...",0
Ciddi anlamda kötüydü.,0
Tattlı berbat gibi idi.,0
Iyi.,1
Hizli ve lezzetli.,1
Pide buz gibiiii... Çorba cacık sütlaç dökülmüş.. Özen yok... Bir dahaa aslaaaa...,0
4 tane soda istedim sanki doğal madenden getirdiler. Sodalar soğuktu en azından iyi..,0
Corba aci olmasin cocuk yiyecek dedigim halde aciydi gelen corba ve kizim yemedi malesef. Notlari dikkate alsaniz ne iyi olur ya da iptal edin veya farkli secenek sunun insanlara.,0
"Her şey inanılmazdı. Salatada domates eksikti sadece, servise o sebeple 1 vermem için bana yalvardı fakat kendisine bi tokat atıp bu sefsr bir şey olmaz diğer her şey efsaneydi diyip 10 puan verdim.",1
Fazla para cekmek normal bi durum degil.,0
Ben lahmacunu çok severim. Çeşitli yerlerde çeşitli fiyatlara lahmacun yemişliğim var. Ama bu lahmacun değildi. Yada lahmacun böyle bir şey değil. 17 lira kesinlikle etmez.,0
Yemek 2 saatte anca geldi ve buz gibiydi lahmacun beklemekten hamur olmuş ayrıca teslim edilmeden yarım saat önce teslim edildi olarak gösteriyorlar bir daha aslaaaaa.,0
Pandemi sizi de vurmuş ya da büyük bir değişim geçirdiniz bilmiyorum tek sipariş verdiğimiz yerdiniz size asla bu zamana kadar 10 puandan düşük vermedim ama bu sefer gerçekten bocalamışsınız lahmacunun içi soğan kaynıyodu!,0
Paket servis konusunda çok özenliler. Ürün lezzeti ve restoran kalitesi çok iyi. Teşekkürler.,1
Sıcak gelseydi daha iyiydi ve iç malzemelerinizin kalitesini arttırırsanız daha güzel olacaktır. Kolay gelsin.,0
Gayet güzeldi.,1
Lahmucun diye yanlış lıkla salça pide getirdiniz bide antep lahmacunu diyor sunuz.,0
İyi begendimmmmmm.,1
"Siparişimiz neredeyse 2 saatte geldi. Soğuktu hiç tat alamadık. Siparişim gelmeden burada geçen teslimat aralığına ulaştığında yemek sepetinde teslim edildi diye geçiyordu, aradım neden böyle diye ama onu kendilerinin değil sistemin yaptığı yanıtını aldım sanki ilk kez kullanıyorum.",0
Pide hamuru kalın et çok azdı. Baya bir somun ekmek yedim.,0
"Lahmacunun tadı yoktu, kötüydü.",0
Yarim kilo oldugu soylenen tavuk sis. 50 indirim altinda insanlari kandirmaktan baska bir sey degil.,0
Hayatımda yediğim en lezzetli lahmacun. İstanbulun en iyisi bence.,1
Yemek tam pişmemiş ve geç geldi.,0
Tek kelime ile berbat! Lahmacun demeye bin şahit lazım... Ekmeğin üstüne salça domates sürülmüş gibi... Geç gelmesini bir kenara bırakıyorum 20 liraya verdikleri adana dürüm dalga geçer gibi rulo rulo ekmeğin içine konulmuş bir parmak etten ibaret. Nasıl 8 puan verilmiş hayret ediyorum...,0
Hayattımda yediğim en berbat dürümdü yenmedi zaten( kupkuru lavaş içinde hiç malzeme yok neredeyse) yazık verilen paraya. Lahmacun idare ederdi.,0
Gayet soğuktu sipariş notumu bu kadar dikkate almadığınız için sağolun indirimli olunca böyle oluyo galiba dimi ürünün ısısını alıyosunuz içinden.,0
Lezzeti çok kötüydu hiç kıyma yoktu içinde ve damağınıza sürekli yağ yapışiyordu.,0
Yemegım soguk geldi ve 45 dakıka bekledım.,0
Başarılı.,1
Gayet iyiydi.,1
"Buz gibi geldi, 1 saate yakin zamanda geldi. Mevkii olarak ayni semtteyiz. İcine mayonez ketcap istedim o bile yoktu. Tadi berbat ve etin gramaji cok azdi.",0
Siz döner yapmayın abi bune yavv.,0
Hızlı servis güzel lezzet elinize sağlık.,1
Çok az ve soguk geldi ama yine de teşekkürler karnım doydu :).,0
İçerikteki turşu patates kızartması yoktu içinde yeşillik nile yoktu soğan azdı tavuk çok çok azdı hız iyiydi lakin çok saçma olmayam şeyleri göstermişsiniz.,0
Sosu tam anlayamadim az geldi sanırım onun dışında iyidi.,1
Karışık tost istedim çok güzeldi amaözel soslu tavuk döner dürüm de istedim seçeneklerde yeşillik-domates-turşu sadece yazıyorsoğanlı-soğansız olduğu öyle bir seçenek yokbol soğanlı geldi dürüm tam olduğu halınde çope attım yiyemedim.. Döner buz gibi geldi.,0
İnsan paket servise hiç olmazsa bir tuz bir peçete atar ve ekmeğin içindeki tavuklar tektek sayılacak kadar azdı lezzetide vasattı. Belki de soğuk soğuk yediğimiz içindir.,0
Lezzet sıfır.,0
"Soğanla pek arası olmayan biriyim, porsiyon dönerin yanına öyle bi soğan koymuşssunuzki dönerin tadı değişmiş resmen. Ayrıca dürümün içinede koymuşsunuz. Sipariş bölümünde bunları belirtmeniz lazım, sonuçta herkes soğanlı yemek zorunda değil. Bunların dışında birde döner kuru ve soğuk geldi.",0
"Lezzet, hız hepsi süper.",1
Yanlışlıkla verdiğimiz siparişi iki dakika sonra duzeltemedigim için iptal etmek istedim tekrarlayacagimi özellikle belirterek hazırlanıyor dediler. O zaman siz oradan düzeltin madem hazırlanıyor dediler ve kabul etmediler. Hazırlanan siparisim bir saat sonra geldi sonuç yanık kanat kurumuş kebap.,0
Dün akşam lahmacun söyledim tatlı vıcık vıcık olmuştu lahmacun buz gibiydi ve yağları ağzımda dondu cidden yazmak istemedim ama kıymayı nerden alıyorsanız değiştirin ilk defa söyledim ama pişman oldum kusura bakmayın.,0
"2. Siparisim ve yine hersey buz gibi tekrar siparia vermeyecegim, ikramlari vs guzel ama malesef hız konusunda sıkıntili bu yuzden yemekler buz gibi geliyor.",0
Adana ve lahmacun plastik gibiydi yemeden cope attik.,0
Teşekkür ederim çok memnun kaldık.,1
Aynı paket içerisinde porsiyon ciğer ve porsiyon kanat söylenmişti. Kanatlar soğuk ciğer sıcaktı. Pilav yarım porsiyondan daha azdı.,0
Yemeklerin lezzeti yok.,0
Etler pismemis gelmisti ustune yazdigi saatten cok gec bi saatte geldi. Aldigi parayi kessinlikle haketmiyor hic memnun kalmadim.,0
Hayatımda yediğim en kötü çiğköfte.,0
Moto kurye 40buçuk lira ödeyeceğim menüye 43 lira çekti kartım temassız olduğu için sonradan farkettim bişey demek istemedim ama yapılan ayıp 3 kerede ne kadar çekeceğini sordu.,0
Etli ekmek değil biberli domatesli ekmek.,0
Tek kelimeyle harikasınız. Lezzetten hıza kadar teşekkürler mevlana.,1
Lahmacunda çok kötü ağır bir kuyruk yağı kokusu vardı. Paketi açar açmaz gelen kötü koku ve tadı berbattı. Ürünü çöpe dökmek zorunda kaldım. Bir daha asla sipariş vermeyeceğim bir mekan.,0
Beğenmedim.,0
Cok uzun zamanda geldi. Soguktu. Ve yani da getirilen salata kutunun uzerine dokulmustu.,0
Güzel.,1
"Ekstra ücretle turşu talep ettik, ekstra ücreti aldılar fakat ürünlerde herhangi bir turşu yoktu. Cidden yazık...",0
Hijyenik değil.,0
"Sirf merak ettim 10 tl lik ayran nasil bisey diye siparis verdim, kutu ayran geldi, insaf be insaf rezillik.",0
Buz gibi geliyor pilavlar ayran söylemenize gerek bile kalmaz.,0
Çoğu mekan buranın anca getir götürünü yapar.,1
Soguk ce cgerler cok kotuydu kıyma gibi cıgermı olur ya.,0
"Sipariş verdim 1. 30 saat sonra henüz yola çıkmamıştı, iptal ettim.",0
Yemekler soğuktu servis yan ürünler azdı.,0
Bayağı hızlı geldi tadına bakarak yorum yapmadım ama tadıda iyi.,1
1 saat 20 dakikada gelen sipariş ve tamamen yanlış gelen bir sipariş! Tam 45 dakika siparişiniz yolda yazıyordu ve buz gibi üstelik başkasının siparişi geldi. Birdaha asla sipariş vermeyeceğim bir işletme!,0
Her zaman ki gibi mükemmel.,1
1 saatten fazla ve buz gibi geldi yemek.,0
Aslında geç geldi yemek 40 dakika gibi bi sürede. Ama ben hıza olumsuz bi puan vermedim sebebi de kurye abicim geldiğinde ıslanmıştı. Yemek sonrası dışarı çıktım hava soğuktu. 10 dakika sonra önce gelsin fark etmez. Bu soğukta ve süreçte biraz da insanları düşünelim. Teşekkür ediyorum.,1
Servis rezalet onceden daha iyi sunum yapiyorlardi lezzet konusuna gelincecede bozmuslar lezetti lavaslar cok sertti cok fazla birakmislar tost makinasinda.,0
"200 gr tavuk diyor 70 cm lik dürümün içinde 50 gr tavuk var nerdeyse lezzet için 1 puan verdim. Yorumlara bakmadan siparis verdim, yorumlarda eleştireyede açık değilsiniz. Müşterilere abuk subuk cevaplarınız var. Laf yetistireceginize hatanızı görüp daha iyi nasıl yapabiliriz onu düşünün.",0
